,Action_Performed,Action_Performed_Bet,Ante,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,5,190,10,190,10,0,0.5470383275261324,1,4082,-1,0,1,10
0,1,0,10,200,10,0,0.8367729831144465,0,6244,-1,0,1,10
0,5,200,10,200,10,3,0.44920932725810775,1,3352,1,0,1,10
0,3,20,10,210,10,0,0.4524256231573305,1,3376,-1,0,1,20
0,5,200,10,200,20,3,0.4606003752345216,1,3437,3,20,1,20
0,3,21,10,230,10,0,0.8473599571160547,0,6323,-1,0,1,28
0,3,28,10,219,21,3,0.8434735995711605,0,6294,3,21,1,28
0,3,16,10,-27,0,0,0.9572500670061646,0,7143,-1,0,0,-16
0,1,0,10,190,10,0,0.7552934870008041,1,5636,-1,0,0,-10
0,1,0,10,180,10,0,0.9167783436076119,0,6841,-1,0,0,-10
0,5,170,10,170,10,0,0.7607879924953096,1,5677,-1,0,1,20
0,1,0,10,0,0,0,0.5463682658804611,1,4077,-1,0,0,0
0,3,22,20,20,10,0,0.956982042347896,0,7141,-1,0,1,40
0,5,50,20,50,20,0,0.8611632270168855,0,6426,-1,0,1,173
0,1,0,20,263,20,0,0.49571160546770304,1,3699,-1,0,1,40
0,3,22,20,303,20,0,0.9245510586974002,0,6899,-1,0,0,-22
0,3,24,20,323,20,0,0.8948003216295899,0,6677,-1,0,1,40
0,5,363,20,363,20,0,0.49825783972125437,1,3718,-1,0,1,40
0,5,423,20,423,20,0,0.5183596890913964,1,3868,-1,0,1,20
0,5,483,40,483,40,0,0.6537121415170196,1,4878,-1,0,1,20
0,3,46,40,543,40,0,0.6584025730367193,1,4913,-1,0,1,40
0,5,623,40,623,40,0,0.7902707049048513,1,5897,-1,0,1,40
0,5,703,40,703,40,0,0.35513267220584294,2,2650,-1,0,1,40
0,1,0,40,783,40,0,0.3513803269900831,2,2622,-1,0,1,40
0,3,21,10,190,10,0,0.967971053336907,0,7223,-1,0,1,39
0,1,0,10,179,21,5,0.3410613776467435,2,2545,3,21,1,39
0,5,219,10,219,10,0,0.7582417582417582,1,5658,-1,0,1,10
0,1,0,10,273,10,0,0.9135620477083892,0,6817,-1,0,0,-10
0,3,17,10,263,10,0,0.9691771642991155,0,7232,-1,0,0,-273
0,5,136,10,136,10,0,0.9427767354596623,0,7035,-1,0,0,-146
0,1,0,10,126,10,0,0.945993031358885,0,7059,-1,0,0,-10
0,1,0,20,106,10,0,0.454569820423479,1,3392,-1,0,0,-10
0,5,66,20,66,20,0,0.5314928973465559,1,3966,-1,0,1,10
0,3,29,20,172,20,0,0.6013133208255159,1,4487,-1,0,1,86
0,1,0,20,163,29,3,0.6110962208523184,1,4560,3,29,1,86
0,1,0,10,190,10,0,0.47775395336370946,1,3565,-1,0,0,-10
0,1,0,10,180,10,0,0.8520503886357544,0,6358,-1,0,1,17
0,3,17,10,180,10,3,0.34561779683730903,2,2579,1,0,1,17
0,1,0,10,197,10,0,0.9040471723398553,0,6746,-1,0,1,10
0,5,197,10,197,10,3,0.48726882873224336,1,3636,1,0,1,10
0,5,207,10,207,10,0,0.9781559903511123,0,7299,-1,0,1,183
0,3,18,10,190,10,0,0.4930313588850174,1,3679,-1,0,0,-18
0,1,0,10,162,10,0,0.6045296167247387,1,4511,-1,0,0,-172
0,1,0,10,162,10,3,0.4132940230501206,2,3084,1,0,0,-172
0,3,19,10,190,10,0,0.3619673009916912,2,2701,-1,0,0,-19
0,3,16,10,171,10,0,0.8678638434735996,0,6476,-1,0,1,43
0,3,30,10,157,24,4,0.44987938890377915,1,3357,2,24,1,43
0,1,0,10,204,10,0,0.7264808362369338,1,5421,-1,0,0,-10
0,1,0,10,204,10,3,0.7164299115518628,1,5346,1,0,0,-10
0,1,0,10,22,10,0,0.9971857410881801,0,7441,-1,0,1,32
0,5,190,10,190,10,0,0.8665237201822568,0,6466,-1,0,1,10
0,1,0,10,200,10,0,0.5247922808898419,1,3916,-1,0,1,19
0,1,0,10,200,10,3,0.5335030822835701,1,3981,1,0,1,19
0,3,13,10,219,10,0,0.834092736531761,0,6224,-1,0,0,-171
0,3,13,10,48,10,0,0.42160278745644597,2,3146,-1,0,1,10
0,1,0,10,0,0,0,0.9778879656928438,0,7297,-1,0,0,0
0,3,17,10,0,0,0,0.9344679710533369,0,6973,-1,0,0,-17
0,5,-17,10,-17,0,0,0.9863307424283034,0,7360,-1,0,0,17
0,5,190,10,190,10,0,0.9442508710801394,0,7046,-1,0,1,10
0,3,19,10,200,10,0,0.8079603323505763,1,6029,-1,0,1,30
0,1,0,10,230,10,0,0.9624765478424016,0,7182,-1,0,1,160
0,5,180,10,180,10,0,0.40297507370678104,2,3007,-1,0,1,10
0,5,206,10,206,10,0,0.6724738675958188,1,5018,-1,0,1,184
0,1,0,10,160,10,0,0.8481640310908604,0,6329,-1,0,0,-10
0,5,157,10,157,10,0,0.9319217367997856,0,6954,-1,0,0,-167
0,3,16,10,190,10,0,0.740418118466899,1,5525,-1,0,0,-16
0,3,14,10,358,10,0,0.8591530420798713,0,6411,-1,0,0,-14
0,1,0,10,344,10,0,0.9492093272581077,0,7083,-1,0,1,10
0,3,15,10,344,10,4,0.8300723666577325,0,6194,1,0,1,10
0,3,14,10,354,10,0,0.682122755293487,1,5090,-1,0,1,10
0,5,364,10,364,10,0,0.7270168855534709,1,5425,-1,0,1,10
0,3,20,10,374,10,0,0.9774859287054409,0,7294,-1,0,1,10
0,1,0,10,200,10,0,0.924953095684803,0,6902,-1,0,1,10
0,5,220,10,220,10,0,0.6152506030554811,1,4591,-1,0,1,10
0,5,240,10,240,10,0,0.8626373626373627,0,6437,-1,0,1,10
0,3,19,10,200,10,0,0.9989279013669258,0,7454,-1,0,1,10
0,1,0,10,220,10,0,0.4537657464486733,1,3386,-1,0,1,10
0,5,240,10,240,10,0,0.918252479228089,0,6852,-1,0,1,10
0,1,0,10,190,10,0,0.5499865987670866,1,4104,-1,0,0,-10
0,1,0,10,180,10,0,0.9722594478692039,0,7255,-1,0,0,-10
0,5,180,10,180,10,0,0.43835432859823104,2,3271,-1,0,1,10
0,5,200,10,200,10,0,0.689761458054141,1,5147,-1,0,1,10
0,5,220,10,220,10,0,0.8720182256767622,0,6507,-1,0,1,10
0,5,240,10,240,10,0,0.942642723130528,0,7034,-1,0,1,10
0,1,0,20,270,20,0,0.8300723666577325,0,6194,-1,0,1,20
0,3,21,20,310,20,0,0.9410345751809166,0,7022,-1,0,1,20
0,5,350,20,350,20,0,0.888635754489413,0,6631,-1,0,1,10
0,3,17,10,180,10,0,0.9614044492093272,0,7174,-1,0,0,-17
0,1,0,10,192,10,0,0.5958188153310104,1,4446,-1,0,1,10
0,5,192,10,192,10,3,0.5959528276601447,1,4447,1,0,1,10
0,5,212,10,212,10,0,0.9463950683462878,0,7062,-1,0,1,10
0,1,0,10,232,10,0,0.6947199142321093,1,5184,-1,0,1,10
0,3,16,10,252,10,0,0.48405253283302063,1,3612,-1,0,1,10
0,5,282,20,282,20,0,0.6219512195121951,1,4641,-1,0,1,10
0,1,0,20,312,20,0,0.9815062985794694,0,7324,-1,0,1,20
0,3,24,20,352,20,0,0.6303939962476548,1,4704,-1,0,1,20
0,5,200,10,200,10,0,0.5938086303939962,1,4431,-1,0,1,10
0,3,13,10,220,10,0,0.8588850174216028,0,6409,-1,0,1,10
0,5,240,10,240,10,0,0.833154650227821,0,6217,-1,0,1,10
0,5,200,10,200,10,0,0.9928973465558831,0,7409,-1,0,1,10
0,3,18,10,220,10,0,0.8647815599035111,0,6453,-1,0,1,10
0,3,13,10,240,10,0,0.7823639774859287,1,5838,-1,0,1,10
0,5,260,10,260,10,0,0.9351380326990083,0,6978,-1,0,1,10
0,5,190,10,190,10,0,0.6951219512195121,1,5187,-1,0,1,10
0,3,12,10,190,10,0,0.9998659876708658,0,7461,-1,0,1,10
0,5,0,10,0,0,0,0.621415170195658,1,4637,-1,0,0,0
0,3,11,10,51,10,0,0.7484588582149557,1,5585,-1,0,0,-11
0,3,15,10,30,10,0,0.8686679174484052,0,6482,-1,0,0,-40
0,5,25,10,25,15,4,0.8482980434199946,0,6330,3,15,0,-40
0,5,70,10,70,10,0,0.586035915304208,1,4373,-1,0,1,80
0,1,0,20,113,20,0,0.44706512999195924,1,3336,-1,0,0,-20
0,3,12,10,162,10,0,0.8544626105601716,0,6376,-1,0,1,12
0,1,0,10,160,12,3,0.3326186009112838,2,2482,3,12,1,12
0,1,0,10,228,10,0,0.925891181988743,0,6909,-1,0,0,-162
0,5,0,10,0,0,0,0.8813990887161619,0,6577,-1,0,0,0
0,3,17,10,187,10,0,0.5592334494773519,1,4173,-1,0,1,10
0,3,14,10,207,10,0,0.8931921736799786,0,6665,-1,0,1,10
0,1,0,10,227,10,0,0.6813186813186813,1,5084,-1,0,1,10
0,5,247,10,247,10,0,0.9340659340659341,0,6970,-1,0,1,33
0,3,24,20,290,10,0,0.8795229161082819,0,6563,-1,0,1,20
0,5,320,20,320,20,0,0.8048780487804879,1,6006,-1,0,1,20
0,5,190,10,190,10,0,0.8954703832752613,0,6682,-1,0,1,10
0,3,18,10,200,10,0,0.2298311444652908,3,1715,-1,0,1,10
0,1,0,10,220,10,0,0.461270436880193,1,3442,-1,0,1,10
0,3,17,10,240,10,0,0.9788260519967837,0,7304,-1,0,1,10
0,3,19,10,200,10,0,0.8531224872688288,0,6366,-1,0,1,10
0,1,0,10,220,10,0,0.9009648887697668,0,6723,-1,0,1,10
0,3,13,10,240,10,0,0.644867327794157,1,4812,-1,0,1,10
0,3,12,10,200,10,0,0.9438488340927366,0,7043,-1,0,1,10
0,3,19,10,220,10,0,0.8649155722326454,0,6454,-1,0,1,10
0,3,15,10,180,10,0,0.4833824711873492,1,3607,-1,0,1,54
0,5,136,10,136,54,3,0.35781291878852856,2,2670,4,54,1,54
0,1,0,10,224,10,0,0.6328062181720718,1,4722,-1,0,1,12
0,1,0,10,224,10,3,0.39480032162958995,2,2946,1,0,1,12
0,3,16,10,223,10,0,0.6077459126239614,1,4535,-1,0,1,167
0,3,12,10,190,10,0,0.9108818011257036,0,6797,-1,0,1,10
0,1,0,10,200,10,0,0.8402573036719378,0,6270,-1,0,0,-10
0,1,0,10,178,10,0,0.9928973465558831,0,7409,-1,0,0,-10
0,1,0,10,178,10,5,0.9606003752345216,0,7168,1,0,0,-10
0,3,26,10,154,24,3,0.2373358348968105,3,1771,4,24,1,26
0,5,194,10,194,10,0,0.922540873760386,0,6884,-1,0,1,34
0,5,190,10,190,10,0,0.236129723934602,3,1762,-1,0,1,10
0,5,200,10,200,10,0,0.9143661216831949,0,6823,-1,0,1,10
0,3,13,10,210,10,0,0.6120343071562584,1,4567,-1,0,0,-220
0,5,207,10,207,13,3,0.6210131332082551,1,4634,3,13,0,-220
0,1,0,10,0,0,0,0.60801393728223,1,4537,-1,0,0,0
0,1,0,10,0,0,0,0.4876708657196462,1,3639,-1,0,0,0
0,5,0,10,0,0,3,0.3512463146609488,2,2621,1,0,0,0
0,3,17,10,190,10,0,0.7603859555079068,1,5674,-1,0,1,24
0,5,214,10,214,10,0,0.4981238273921201,1,3717,-1,0,1,10
0,3,16,10,224,10,0,0.8615652640042883,0,6429,-1,0,0,-16
0,3,18,10,180,10,0,0.9768158670597695,0,7289,-1,0,1,10
0,3,18,10,190,10,0,0.9961136424551059,0,7433,-1,0,1,44
0,5,234,10,234,10,0,0.8184132940230501,1,6107,-1,0,1,10
0,3,18,10,190,10,0,0.8779147681586706,0,6551,-1,0,0,-18
0,3,12,10,172,10,0,0.8997587778075583,0,6714,-1,0,0,-182
0,1,0,10,0,0,0,0.5572232645403377,1,4158,-1,0,1,374
0,5,0,10,0,0,3,0.556419190565532,1,4152,1,0,1,374
0,3,14,10,364,10,0,0.7653444116858751,1,5711,-1,0,1,10
0,3,20,10,358,10,0,0.7032967032967034,1,5248,-1,0,1,10
0,3,18,10,368,10,0,0.8846153846153846,0,6601,-1,0,1,10
0,1,0,10,378,10,0,0.89292414902171,0,6663,-1,0,1,12
0,3,12,10,810,10,0,0.7753953363709462,1,5786,-1,0,1,10
